trip_id,segment_id,ts,seq,lat,lng,speed_mps,accel_mps2,jerk_mps3,odometer_m
1757737581_000135__1749090055,1757737581_000135,1757747132,6,40.8800284,-73.8978116,7.134,0.288,1.638,72.47
1757737581_000135__1749090055,1757737581_000135,1757747133,7,40.8801301,-73.8977611,7.039,-0.095,-0.383,84.56
1757737581_000135__1749090055,1757737581_000135,1757747134,8,40.8802318,-73.8977105,7.363,0.325,0.42,96.64
1757737581_000135__1749090055,1757737581_000135,1757747135,9,40.8803336,-73.89766,8.775,1.412,1.087,108.72
1757737581_000135__1749090055,1757737581_000135,1757747136,10,40.8804353,-73.8976095,8.157,-0.618,-2.03,120.8
1757737581_000135__1749090055,1757737581_000135,1757747137,11,40.880537,-73.897559,8.898,0.741,1.359,132.89
1757737581_000135__1749090055,1757737581_000135,1757747138,12,40.8806426,-73.8975263,8.535,-0.363,-1.104,144.95
1757737581_000135__1749090055,1757737581_000135,1757747139,13,40.8807504,-73.8975079,14.452,5.916,6.279,157.03
1757737581_000135__1749090055,1757737581_000135,1757747140,14,40.8808586,-73.8974947,8.106,-6.345,-12.262,169.11
1757737581_000135__1749090055,1757737581_000135,1757747141,15,40.8809669,-73.8974835,7.704,-0.402,5.943,181.19
1757737581_000135__1749090055,1757737581_000135,1757747142,16,40.8810751,-73.8974713,8.342,0.638,1.04,193.27
1757737581_000135__1749090055,1757737581_000135,1757747143,17,40.8811796,-73.8974361,9.424,1.083,0.445,205.26
1757737581_000135__1749090055,1757737581_000135,1757747144,18,40.8812654,-73.8973504,7.306,-2.119,-3.201,217.21
1757737581_000135__1749090055,1757737581_000135,1757747145,19,40.8813132,-73.8972225,7.581,0.276,2.395,229.2
1757737581_000135__1749090055,1757737581_000135,1757747146,20,40.8813097,-73.8970797,7.606,0.025,-0.251,241.22
1757737581_000135__1749090055,1757737581_000135,1757747147,21,40.8812908,-73.8969382,9.268,1.662,1.638,253.3
1757737581_000135__1749090055,1757737581_000135,1757747148,22,40.8812763,-73.8967958,9.251,-0.017,-1.679,265.38
1757737581_000135__1749090055,1757737581_000135,1757747149,23,40.881263,-73.8966532,8.881,-0.37,-0.353,277.46
1757737581_000135__1749090055,1757737581_000135,1757747150,24,40.8812048,-73.8965842,9.958,1.077,1.447,286.15
1757737581_000135__1749090055,1757737581_000135,1757747151,25,40.8810966,-73.8965972,8.304,-1.654,-2.731,298.23
1757737581_000135__1749090055,1757737581_000135,1757747152,26,40.8809884,-73.8966102,8.224,-0.08,1.573,310.32
1757737581_000135__1749090055,1757737581_000135,1757747153,27,40.8808802,-73.8966234,6.674,-1.55,-1.47,322.4
1757737581_000135__1749090055,1757737581_000135,1757747154,28,40.880772,-73.896637,6.929,0.255,1.805,334.48
1757737014_000027__163868757,1757737014_000027,1757747177,0,40.590954,-73.952001,9.546,0.0,0.0,0.0
1757737014_000027__163868757,1757737014_000027,1757747178,1,40.5908473,-73.9519814,8.558,-0.989,-0.989,11.98
1757737014_000027__163868757,1757737014_000027,1757747179,2,40.5907406,-73.9519617,7.235,-1.323,-0.334,23.96
1757737014_000027__163868757,1757737014_000027,1757747180,3,40.5906339,-73.9519421,7.878,0.643,1.966,35.93
1757737014_000027__163868757,1757737014_000027,1757747181,4,40.5905273,-73.9519225,6.556,-1.321,-1.965,47.91
1757737014_000027__163868757,1757737014_000027,1757747182,5,40.5904206,-73.9519029,8.385,1.828,3.15,59.89
1757737014_000027__163868757,1757737014_000027,1757747183,6,40.5904181,-73.9517801,7.871,-0.513,-2.342,70.26
1757737014_000027__163868757,1757737014_000027,1757747184,7,40.5904333,-73.9516396,12.574,4.703,5.216,82.24
1757737014_000027__163868757,1757737014_000027,1757747185,8,40.5904486,-73.9514992,9.843,-2.732,-7.434,94.22
1757737014_000027__163868757,1757737014_000027,1757747186,9,40.5904639,-73.9513588,7.831,-2.012,0.72,106.2
1757737014_000027__163868757,1757737014_000027,1757747187,10,40.5904792,-73.9512184,8.817,0.986,2.998,118.18
1757737014_000027__163868757,1757737014_000027,1757747188,11,40.5904945,-73.951078,9.145,0.327,-0.659,130.16
1757737014_000027__163868757,1757737014_000027,1757747189,12,40.5905098,-73.9509375,7.484,-1.66,-1.988,142.13
1757737014_000027__163868757,1757737014_000027,1757747190,13,40.5905253,-73.9507972,8.746,1.262,2.922,154.11
1757737014_000027__163868757,1757737014_000027,1757747191,14,40.5905408,-73.9506568,8.481,-0.266,-1.527,166.09
1757737014_000027__163868757,1757737014_000027,1757747192,15,40.5905563,-73.9505164,8.697,0.216,0.482,178.07
1757737014_000027__163868757,1757737014_000027,1757747193,16,40.5905718,-73.950376,7.11,-1.586,-1.803,190.05
1757737014_000027__163868757,1757737014_000027,1757747194,17,40.5905874,-73.9502356,7.402,0.291,1.878,202.03
1757737014_000027__163868757,1757737014_000027,1757747195,18,40.5906031,-73.9500953,7.064,-0.338,-0.629,214.0
1757737014_000027__163868757,1757737014_000027,1757747196,19,40.5906187,-73.9499549,8.838,1.774,2.112,225.98
1757737014_000027__163868757,1757737014_000027,1757747197,20,40.5906236,-73.9498253,8.418,-0.421,-2.195,236.94
1757737014_000027__163868757,1757737014_000027,1757747198,21,40.5905168,-73.9498063,7.351,-1.067,-0.646,248.92
1757737014_000027__163868757,1757737014_000027,1757747199,22,40.5904102,-73.949786,8.965,1.614,2.681,260.9
1757737014_000027__163868757,1757737014_000027,1757747200,23,40.5903036,-73.9497654,9.59,0.625,-0.989,272.88
1757737014_000027__163868757,1757737014_000027,1757747201,24,40.590197,-73.9497448,8.94,-0.651,-1.276,284.85
1757737014_000027__163868757,1757737014_000027,1757747202,25,40.5900905,-73.9497242,8.563,-0.376,0.274,296.83
1757737014_000027__163868757,1757737014_000027,1757747203,26,40.5899839,-73.9497038,7.425,-1.138,-0.762,308.81
1757737014_000027__163868757,1757737014_000027,1757747204,27,40.5898772,-73.9496836,7.375,-0.05,1.088,320.79
1757737014_000027__163868757,1757737014_000027,1757747205,28,40.5897706,-73.9496633,9.165,1.789,1.839,332.77
1757737014_000027__163868757,1757737014_000027,1757747206,29,40.589664,-73.949643,7.539,-1.626,-3.415,344.75
1757737581_000076__1426778249,1757737581_000076,1757747236,0,40.896993,-73.837594,8.663,0.0,0.0,0.0
1757737581_000076__1426778249,1757737581_000076,1757747237,1,40.897095,-73.8376337,9.145,0.482,0.482,11.82
1757737581_000076__1426778249,1757737581_000076,1757747238,2,40.897197,-73.8376733,7.719,-1.427,-1.909,23.64
1757737581_000076__1426778249,1757737581_000076,1757747239,3,40.8972992,-73.8377121,9.923,2.204,3.631,35.46
1757737581_000076__1426778249,1757737581_000076,1757747240,4,40.8974014,-73.8377508,8.434,-1.489,-3.693,47.29
1757737581_000076__1426778249,1757737581_000076,1757747241,5,40.8975036,-73.8377895,9.159,0.725,2.215,59.11
1757737581_000076__1426778249,1757737581_000076,1757747242,6,40.8976058,-73.8378282,8.2,-0.958,-1.684,70.93
1757737581_000076__1426778249,1757737581_000076,1757747243,7,40.897708,-73.8378669,9.536,1.335,2.293,82.75
1757737581_000076__1426778249,1757737581_000076,1757747244,8,40.8978103,-73.8379056,11.049,1.513,0.178,94.57
1757737581_000076__1426778249,1757737581_000076,1757747245,9,40.8979125,-73.8379443,8.353,-2.695,-4.208,106.39
1757737581_000076__1426778249,1757737581_000076,1757747246,10,40.8980147,-73.837983,10.055,1.702,4.398,118.22
1757737581_000076__1426778249,1757737581_000076,1757747247,11,40.8981169,-73.8380218,8.227,-1.828,-3.531,130.04
1757737581_000076__1426778249,1757737581_000076,1757747248,12,40.8982191,-73.8380605,9.376,1.149,2.977,141.86
1757737581_000076__1426778249,1757737581_000076,1757747249,13,40.8982665,-73.8379679,12.62,3.244,2.095,151.26
1757737581_000076__1426778249,1757737581_000076,1757747250,14,40.8982964,-73.8378329,6.752,-5.868,-9.112,163.09
1757737581_000076__1426778249,1757737581_000076,1757747251,15,40.8983262,-73.8376979,9.681,2.928,8.797,174.91
1757737581_000076__1426778249,1757737581_000076,1757747252,16,40.898356,-73.8375629,9.351,-0.329,-3.258,186.73
1757737581_000076__1426778249,1757737581_000076,1757747253,17,40.8983858,-73.8374279,7.613,-1.738,-1.409,198.55
1757737581_000076__1426778249,1757737581_000076,1757747254,18,40.8984139,-73.8372923,10.301,2.688,4.426,210.37
1757737581_000076__1426778249,1757737581_000076,1757747255,19,40.8984418,-73.8371565,8.973,-1.329,-4.017,222.19
1757737581_000076__1426778249,1757737581_000076,1757747256,20,40.8984715,-73.8370215,9.678,0.706,2.034,234.02
1757737581_000076__1426778249,1757737581_000076,1757747257,21,40.8985016,-73.8368866,9.723,0.045,-0.661,245.84
1757737581_000076__1426778249,1757737581_000076,1757747258,22,40.8985317,-73.8367517,9.334,-0.389,-0.434,257.66
1757737581_000076__1426778249,1757737581_000076,1757747259,23,40.8985617,-73.8366168,9.742,0.407,0.796,269.48
1757737581_000076__1426778249,1757737581_000076,1757747260,24,40.8985918,-73.8364819,9.026,-0.716,-1.123,281.3
1757737581_000076__1426778249,1757737581_000076,1757747261,25,40.8986219,-73.836347,9.902,0.876,1.592,293.12
1757737581_000076__1426778249,1757737581_000076,1757747262,26,40.898652,-73.8362121,10.052,0.15,-0.727,304.95
1757737581_000076__1426778249,1757737581_000076,1757747263,27,40.8986818,-73.8360771,9.19,-0.861,-1.011,316.77
1757737581_000076__1426778249,1757737581_000076,1757747264,28,40.8987116,-73.835942,9.056,-0.135,0.727,328.59
1757737581_000076__1426778249,1757737581_000076,1757747265,29,40.8987414,-73.835807,12.793,3.737,3.872,340.41
1757737581_000076__1426778249,1757737581_000076,1757747266,30,40.8987712,-73.835672,9.953,-2.84,-6.578,352.23
1757737581_000076__1426778249,1757737581_000076,1757747267,31,40.898801,-73.835537,8.279,-1.674,1.167,364.05
1757737014_000013__685744792,1757737014_000013,1757747294,0,40.762668,-74.02966,13.252,0.0,0.0,0.0
1757737014_000013__685744792,1757737014_000013,1757747295,1,40.762611,-74.0295402,10.772,-2.48,-2.48,11.92
1757737014_000013__685744792,1757737014_000013,1757747296,2,40.7625541,-74.0294203,9.65,-1.122,1.358,23.83
1757737014_000013__685744792,1757737014_000013,1757747297,3,40.7624971,-74.0293005,11.083,1.433,2.555,35.75
1757737014_000013__685744792,1757737014_000013,1757747298,4,40.7624402,-74.0291807,12.267,1.183,-0.25,47.66
1757737014_000013__685744792,1757737014_000013,1757747299,5,40.7623832,-74.0290608,12.742,0.475,-0.708,59.58
1757737014_000013__685744792,1757737014_000013,1757747300,6,40.7623263,-74.028941,12.751,0.009,-0.466,71.49
1757737014_000013__685744792,1757737014_000013,1757747301,7,40.7622693,-74.0288211,13.558,0.807,0.798,83.41
1757737014_000013__685744792,1757737014_000013,1757747302,8,40.7622124,-74.0287013,10.174,-3.384,-4.191,95.32
1757737014_000013__685744792,1757737014_000013,1757747303,9,40.7621554,-74.0285815,10.051,-0.123,3.261,107.24
1757737014_000013__685744792,1757737014_000013,1757747304,10,40.7620985,-74.0284616,11.146,1.095,1.218,119.15
1757737014_000013__685744792,1757737014_000013,1757747305,11,40.7620415,-74.0283418,12.67,1.524,0.43,131.07
1757737014_000013__685744792,1757737014_000013,1757747306,12,40.7619722,-74.0282915,8.434,-4.236,-5.76,139.86
1757737014_000013__685744792,1757737014_000013,1757747307,13,40.7618825,-74.0283689,11.533,3.099,7.335,151.77
1757737014_000013__685744792,1757737014_000013,1757747308,14,40.7617939,-74.0284484,10.418,-1.115,-4.215,163.69
1757737014_000013__685744792,1757737014_000013,1757747309,15,40.7617052,-74.0285279,11.36,0.942,2.057,175.6
1757737014_000013__685744792,1757737014_000013,1757747310,16,40.7616166,-74.0286073,15.646,4.286,3.344,187.52
1757737014_000013__685744792,1757737014_000013,1757747311,17,40.7615282,-74.0286874,10.57,-5.076,-9.362,199.43
1757737014_000013__685744792,1757737014_000013,1757747312,18,40.7614413,-74.0287702,9.707,-0.863,4.214,211.35
1757737014_000013__685744792,1757737014_000013,1757747313,19,40.7613514,-74.028847,11.697,1.989,2.852,223.26
1757737014_000013__685744792,1757737014_000013,1757747314,20,40.7612628,-74.0289238,13.977,2.28,0.291,235.05
1757737014_000013__685744792,1757737014_000013,1757747315,21,40.7612699,-74.0290626,10.401,-3.576,-5.856,246.76
1757737014_000013__685744792,1757737014_000013,1757747316,22,40.7612253,-74.0291887,12.653,2.253,5.829,258.49
1757737014_000013__685744792,1757737014_000013,1757747317,23,40.7611432,-74.0292793,10.016,-2.637,-4.89,270.38
1757737014_000013__685744792,1757737014_000013,1757747318,24,40.7610705,-74.0293817,9.66,-0.356,2.281,282.2
1757737014_000013__685744792,1757737014_000013,1757747319,25,40.761048,-74.0295184,11.332,1.672,2.028,293.98
1757737014_000013__685744792,1757737014_000013,1757747320,26,40.7610806,-74.0296493,9.5,-1.832,-3.503,305.58
1757737014_000013__685744792,1757737014_000013,1757747321,27,40.7611336,-74.0297722,11.738,2.237,4.069,317.5
1757737014_000013__685744792,1757737014_000013,1757747322,28,40.7611866,-74.0298952,10.912,-0.826,-3.063,329.41
1757737014_000013__685744792,1757737014_000013,1757747323,29,40.7612404,-74.0300176,12.923,2.011,2.836,341.33
1757737014_000013__685744792,1757737014_000013,1757747324,30,40.7612964,-74.0301381,8.714,-4.208,-6.219,353.24
1757737014_000013__685744792,1757737014_000013,1757747325,31,40.761353,-74.0302583,11.341,2.626,6.835,365.16
1757737014_000013__685744792,1757737014_000013,1757747326,32,40.7614096,-74.0303784,12.065,0.725,-1.901,377.07
1757737014_000013__685744792,1757737014_000013,1757747327,33,40.7614647,-74.0304997,9.637,-2.428,-3.153,388.99
1757737014_000013__685744792,1757737014_000013,1757747328,34,40.7615184,-74.0306222,9.944,0.307,2.735,400.9
1757737014_000013__685744792,1757737014_000013,1757747329,35,40.761572,-74.0307446,10.128,0.185,-0.122,412.82
1757737014_000013__685744792,1757737014_000013,1757747330,36,40.7616257,-74.0308671,10.12,-0.008,-0.193,424.73
1757737014_000013__685744792,1757737014_000013,1757747331,37,40.7616793,-74.0309895,11.472,1.352,1.36,436.65
1757737014_000013__685744792,1757737014_000013,1757747332,38,40.761733,-74.031112,9.365,-2.107,-3.459,448.56
1757737581_000025__1433644589,1757737581_000025,1757747346,0,40.618918,-73.95023,21.69,0.0,0.0,0.0
1757737581_000025__1433644589,1757737581_000025,1757747347,1,40.619025,-73.9502507,17.755,-3.935,-3.935,12.03
1757737581_000025__1433644589,1757737581_000025,1757747348,2,40.619095,-73.9502062,17.227,-0.528,3.407,20.67
1757737581_000025__1433644589,1757737581_000025,1757747349,3,40.61911,-73.950065,16.054,-1.173,-0.644,32.7
1757737581_000025__1433644589,1757737581_000025,1757747350,4,40.6191249,-73.9499239,15.612,-0.443,0.73,44.73
1757737581_000025__1433644589,1757737581_000025,1757747351,5,40.6191399,-73.9497827,17.755,2.144,2.586,56.76
1757737581_000025__1433644589,1757737581_000025,1757747352,6,40.6191549,-73.9496415,17.565,-0.19,-2.334,68.79
1757737581_000025__1433644589,1757737581_000025,1757747353,7,40.6191698,-73.9495004,16.045,-1.52,-1.33,80.82
1757737581_000025__1433644589,1757737581_000025,1757747354,8,40.619187,-73.9493597,18.094,2.049,3.57,92.85
1757737581_000025__1433644589,1757737581_000025,1757747355,9,40.6192056,-73.9492193,20.4,2.306,0.257,104.88
1757737581_000025__1433644589,1757737581_000025,1757747356,10,40.6192211,-73.9490782,17.935,-2.465,-4.771,116.91
1757737581_000025__1433644589,1757737581_000025,1757747357,11,40.6192359,-73.948937,18.817,0.883,3.348,128.94
1757737581_000025__1433644589,1757737581_000025,1757747358,12,40.6192507,-73.9487958,15.349,-3.469,-4.351,140.97
1757737581_000025__1433644589,1757737581_000025,1757747359,13,40.6192655,-73.9486547,19.337,3.989,7.457,153.0
1757737581_000025__1433644589,1757737581_000025,1757747360,14,40.6192804,-73.9485135,17.387,-1.95,-5.939,165.03
1757737581_000025__1433644589,1757737581_000025,1757747361,15,40.619294,-73.9483721,17.78,0.393,2.343,177.06
1757737581_000025__1433644589,1757737581_000025,1757747362,16,40.6194011,-73.948392,15.12,-2.66,-3.053,189.08
1757737581_000025__1433644589,1757737581_000025,1757747363,17,40.6195082,-73.948412,15.327,0.207,2.867,201.11
1757737581_000025__1433644589,1757737581_000025,1757747364,18,40.6196153,-73.948432,16.09,0.764,0.557,213.14
1757737581_000025__1433644589,1757737581_000025,1757747365,19,40.6197224,-73.948452,21.025,4.935,4.171,225.17
1757737581_000025__1433644589,1757737581_000025,1757747366,20,40.6198295,-73.948472,19.687,-1.338,-6.273,237.2
1757737581_000025__1433644589,1757737581_000025,1757747367,21,40.6199366,-73.948492,18.991,-0.696,0.642,249.23
1757737581_000025__1433644589,1757737581_000025,1757747368,22,40.6200438,-73.948512,18.817,-0.174,0.522,261.26
1757737581_000025__1433644589,1757737581_000025,1757747369,23,40.6201509,-73.948532,18.786,-0.031,0.143,273.29
1757737581_000025__1433644589,1757737581_000025,1757747370,24,40.620258,-73.948552,17.164,-1.622,-1.591,285.32
1757737581_000001__703416220,1757737581_000001,1757747420,0,40.737722,-74.0474,6.689,0.0,0.0,0.0
1757737581_000001__703416220,1757737581_000001,1757747421,1,40.7376336,-74.0473224,5.941,-0.748,-0.748,11.81
1757737581_000001__703416220,1757737581_000001,1757747422,2,40.7375513,-74.0472339,5.544,-0.397,0.35,23.61
1757737581_000001__703416220,1757737581_000001,1757747423,3,40.737483,-74.047127,5.284,-0.26,0.137,35.39
1757737581_000001__703416220,1757737581_000001,1757747424,4,40.7374404,-74.0469992,5.367,0.084,0.344,47.15
1757737581_000001__703416220,1757737581_000001,1757747425,5,40.7374277,-74.0468612,6.343,0.976,0.892,58.86
1757737581_000001__703416220,1757737581_000001,1757747426,6,40.7374639,-74.0467312,6.107,-0.236,-1.212,70.53
1757737581_000001__703416220,1757737581_000001,1757747427,7,40.7375371,-74.0466302,5.976,-0.132,0.104,82.31
1757737581_000001__703416220,1757737581_000001,1757747428,8,40.7376148,-74.0465346,7.31,1.334,1.465,94.12
1757737581_000001__703416220,1757737581_000001,1757747429,9,40.7376925,-74.046439,6.761,-0.549,-1.883,105.93
1757737581_000001__703416220,1757737581_000001,1757747430,10,40.7377703,-74.0463434,5.824,-0.937,-0.388,117.75
1757737581_000001__703416220,1757737581_000001,1757747431,11,40.737848,-74.0462479,5.335,-0.489,0.448,129.56
1757737581_000001__703416220,1757737581_000001,1757747432,12,40.7379262,-74.046153,7.335,2.0,2.489,141.37
1757737581_000001__703416220,1757737581_000001,1757747433,13,40.7380045,-74.0460582,6.644,-0.691,-2.691,153.18
1757737581_000001__703416220,1757737581_000001,1757747434,14,40.7380816,-74.0459618,6.882,0.238,0.929,164.99
1757737581_000001__703416220,1757737581_000001,1757747435,15,40.7381407,-74.0458466,6.083,-0.799,-1.037,176.72
1757737581_000001__703416220,1757737581_000001,1757747436,16,40.7381553,-74.0457092,7.087,1.005,1.804,188.41
1757737581_000001__703416220,1757737581_000001,1757747437,17,40.7381335,-74.045572,5.566,-1.521,-2.525,200.22
1757737581_000001__703416220,1757737581_000001,1757747438,18,40.7381114,-74.0454349,7.048,1.481,3.002,212.03
1757737581_000001__703416220,1757737581_000001,1757747439,19,40.7380893,-74.0452978,7.344,0.297,-1.185,223.84
1757737581_000001__703416220,1757737581_000001,1757747440,20,40.73802,-74.0453157,5.854,-1.49,-1.787,231.68
1757737581_000001__703416220,1757737581_000001,1757747441,21,40.7379499,-74.0454172,5.956,0.102,1.593,243.26
1757737581_000001__703416220,1757737581_000001,1757747442,22,40.7378951,-74.0455366,6.779,0.823,0.721,255.02
1757737581_000001__703416220,1757737581_000001,1757747443,23,40.7378047,-74.0456045,5.523,-1.256,-2.079,266.59
1757737581_000001__703416220,1757737581_000001,1757747444,24,40.7377026,-74.0456433,6.322,0.799,2.054,278.4
1757737581_000001__703416220,1757737581_000001,1757747445,25,40.7376196,-74.0457032,5.665,-0.657,-1.455,288.92
1757737581_000001__703416220,1757737581_000001,1757747446,26,40.7375357,-74.045758,7.16,1.495,2.151,299.32
1757737581_000001__703416220,1757737581_000001,1757747447,27,40.7374461,-74.0457487,6.752,-0.408,-1.902,309.33
1757737581_000001__703416220,1757737581_000001,1757747448,28,40.7373472,-74.0458002,5.981,-0.771,-0.363,321.14
1757737581_000001__703416220,1757737581_000001,1757747449,29,40.7372484,-74.0458517,7.181,1.2,1.971,332.95
1757737581_000001__703416220,1757737581_000001,1757747450,30,40.7371496,-74.0459032,5.516,-1.666,-2.866,344.77
1757737581_000001__703416220,1757737581_000001,1757747451,31,40.7370465,-74.0459171,6.115,0.599,2.265,356.29
1757737581_000001__703416220,1757737581_000001,1757747452,32,40.736997,-74.0458,5.956,-0.159,-0.758,367.59
1757737581_000050__376297091,1757737581_000050,1757747458,0,40.696997,-73.948283,9.953,0.0,0.0,0.0
1757737581_000050__376297091,1757737581_000050,1757747459,1,40.696981,-73.9484221,13.087,3.134,3.134,11.86
1757737581_000050__376297091,1757737581_000050,1757747460,2,40.6969649,-73.9485612,11.585,-1.502,-4.636,23.72
1757737581_000050__376297091,1757737581_000050,1757747461,3,40.6969489,-73.9487003,12.504,0.919,2.421,35.59
1757737581_000050__376297091,1757737581_000050,1757747462,4,40.6969329,-73.9488394,11.251,-1.253,-2.172,47.45
1757737581_000050__376297091,1757737581_000050,1757747463,5,40.6969169,-73.9489786,11.458,0.207,1.46,59.31
1757737581_000050__376297091,1757737581_000050,1757747464,6,40.6969008,-73.9491177,11.304,-0.154,-0.361,71.17
1757737581_000050__376297091,1757737581_000050,1757747465,7,40.6968848,-73.9492568,10.447,-0.858,-0.704,83.04
1757737581_000050__376297091,1757737581_000050,1757747466,8,40.6968688,-73.9493959,12.147,1.7,2.558,94.9
1757737581_000050__376297091,1757737581_000050,1757747467,9,40.6968772,-73.9495112,9.761,-2.386,-4.086,104.67
1757737581_000050__376297091,1757737581_000050,1757747468,10,40.6969827,-73.9495323,11.699,1.939,4.325,116.53
1757737581_000050__376297091,1757737581_000050,1757747469,11,40.6970882,-73.9495533,10.229,-1.47,-3.409,128.39
1757737581_000050__376297091,1757737581_000050,1757747470,12,40.6971937,-73.9495743,9.2,-1.03,0.44,140.26
1757737581_000050__376297091,1757737581_000050,1757747471,13,40.6972992,-73.9495954,9.809,0.609,1.639,152.12
1757737581_000050__376297091,1757737581_000050,1757747472,14,40.6974046,-73.9496164,14.544,4.735,4.125,163.98
1757737581_000050__376297091,1757737581_000050,1757747473,15,40.6975101,-73.9496375,11.798,-2.746,-7.48,175.84
